㝨	宀 土 口 衣省
㝩	宀 广 隶
㝪	宀 土 南字心 九 4
㝫	宀 阝 夊 1 生
㝬	宀 丰 口 夫
㝭	宀 忄 日 生
㝮	宀 屮 凵 示 又
㝯	宀 夭 口 冂 口
㝰	宀 自 穴 方
㝱	宀 爿 艹 罒 冖 夕
㝲	宀 爿 艹 罒 冖 彐 冖 巾
㝳	寸 横两点
㝴	1 兀 寸
㝵	日 1 寸
㝶	罒 儿 寸
㝷	彐 工 九 4 寸
㝸	小 白 儿
㝹	少三 3 尔字头 口 见字底 4
㝺	䒑 聿三 临字旁 八 少三 3
㝻	革 二 少三 3
㝼	尢 1 于无横
㝽	尢 水
㝾	尢 左字框 工
㝿	尢 皮
㞀	尢 左字框 火
㞁	尢 日 匕
㞂	尢 爫 女
㞃	八 全字头 口 尤
㞄	尢 大 电
㞅	尢 日 木
㞆	尢 大 丁 口
㞇	尢 田 畏字底带横
㞈	尢 户 扁字心
㞉	尢 差字头 工
㞊	屮 凵 示 尢
㞋	尸 又
㞌	尸 子
㞍	尸 九 4
㞎	尸 巴
㞏	尸 3 之
㞐	尸 立
㞑	尸 冫 飞无折 6
㞒	尸 自
㞓	尸 匕 日
㞔	尸 夕 夕
㞕	尸 八 青字底
㞖	尸 木框 冂
㞗	尸 1 氺 4
㞘	尸 豕 4
㞙	尸 毛 水
㞚	尸 千 臼
㞛	尸 彳 匕 日
㞜	尸 彳 禾 女
㞝	戊 上 小 尸
㞞	尸 彳 人 人 龰
㞟	尸 丷 酉 大
㞠	尸 大 丷 日 小
㞡	尸 工 工 工 工 衣省
㞢	屮 1
㞣	屮 八 刀
㞤	山 人
㞥	山 入
㞦	山 几
㞧	山 乃
㞨	山 子
㞩	山 几 4
㞪	录字头 山
㞫	山 之
㞬	山 工
㞭	大 山
㞮	山 尔字头
㞯	己 山
㞰	山 卧人 十
㞱	山 日
㞲	山 口 2
㞳	山 冬字底 十
㞴	山 卬字旁 弋二
㞵	山 文
㞶	山 文
㞷	屮 王
㞸	山 不
㞹	山 丁 口
㞺	山 矢
㞻	山 口 丂
㞼	5 水 山
㞽	山 戈 6
㞾	山 尸 匕
㞿	山 土 乂
㟀	禾 山
㟁	山 厂 干
㟂	山 母
㟃	山 5 1 口
㟄	山 羊
㟅	山 乂 凵 儿
㟆	山 亻 化字边 十
㟇	山 人 人 土
㟈	山 1 氺 4
㟉	山 宀 牛
㟊	山 爫 子
㟋	山 丷 口 见字底
㟌	山 尤 彡
㟍	山 4 艮
㟎	山 爫 女
㟏	山 全字头 4 5 口
㟐	山 艹 亡
㟑	山 十 冖 子
㟒	山 聿三 3 口
㟓	山 乂 左字框 巾
㟔	山 全字头 4 5 口
㟕	山 口 冬字底 十
㟖	山 王 廾
㟗	山 八 刀 八 刀
㟘	山 周字框 土 口
㟙	山 龷 日
㟚	木 十 又 山
㟛	山 扌 卄 二
㟜	山 弓 尔字头 小
㟝	山 立 口
㟞	山 戈 戈
㟟	山 龷 八 巳
㟠	山 冂 䒑 山
㟡	山 丷 夫 㔾
㟢	山 大 丁 口
㟣	山 木 八 厶
㟤	山 录字头 氺
㟥	山 厶 大 彡
㟦	山 冖 車
㟧	山 口 口 1 丂
㟨	山 山 而
㟩	民字框 弋二 攵 山
㟪	山 田 畏字底带横
㟫	山 白 水
㟬	山 臼 2 又
㟭	山 民字框 弋二 日
㟮	山 穴 犬
㟯	山 宀 夊 口
㟰	山 冖 日 亠 八
㟱	山 美字头 灬
㟲	山 厂 白 小
㟳	山 覀 木
㟴	山 鬼
㟵	山 罒 正
㟶	山 厂 白 小
㟷	山 艹 合
